Module	Section	Sample Name	Source
Samtools	idxstats	WT_tumor_rep2-idxstats	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/WT_tumor_rep2/samtools/WT_tumor_rep2-idxstats.txt
Samtools	idxstats	WT_tumor_rep3-idxstats	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/WT_tumor_rep3/samtools/WT_tumor_rep3-idxstats.txt
FastQC	all_sections	Kras_colon_rep1	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/Kras_colon_rep1/fastqc/fastqc_data.txt
FastQC	all_sections	Kras_colon_rep2	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/Kras_colon_rep2/fastqc/fastqc_data.txt
FastQC	all_sections	Kras_colon_rep3	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/Kras_colon_rep3/fastqc/fastqc_data.txt
FastQC	all_sections	Kras_tumor_rep1	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/Kras_tumor_rep1/fastqc/fastqc_data.txt
FastQC	all_sections	Kras_tumor_rep2	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/Kras_tumor_rep2/fastqc/fastqc_data.txt
FastQC	all_sections	Kras_tumor_rep3	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/Kras_tumor_rep3/fastqc/fastqc_data.txt
FastQC	all_sections	WT_colon_rep1	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/WT_colon_rep1/fastqc/fastqc_data.txt
FastQC	all_sections	WT_colon_rep2	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/WT_colon_rep2/fastqc/fastqc_data.txt
FastQC	all_sections	WT_colon_rep3	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/WT_colon_rep3/fastqc/fastqc_data.txt
FastQC	all_sections	WT_tumor_rep1	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/WT_tumor_rep1/fastqc/fastqc_data.txt
FastQC	all_sections	WT_tumor_rep2	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/WT_tumor_rep2/fastqc/fastqc_data.txt
FastQC	all_sections	WT_tumor_rep3	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/WT_tumor_rep3/fastqc/fastqc_data.txt
